5	[116680003-CF, 255234002-PR, 47429007-PO]
5	[116680003-CF, 263502005-QV, 370135005-QV]
5	[116680003-EV, 42752001-EV]
5	[116680003-PR, 246513007-QV, 260686004-QV, 363699004-PO, 363700003-BS, 405813007-BS]
5	[116680003-PR, 246513007-QV, 260686004-QV, 363699004-PO, 405813007-BS, 405814001-BS]
5	[116680003-PR, 246513007-QV, 260686004-QV, 363700003-BS, 405813007-BS, 424361007-SU]
5	[116680003-PR, 246513007-QV, 260686004-QV, 363700003-BS]
5	[116680003-PR, 246513007-QV, 260686004-QV, 363704007-BS, 405815000-PO]
5	[116680003-PR, 260507000-QV, 260686004-QV, 363700003-BS, 405814001-BS, 424226004-PO]
5	[116680003-PR, 260507000-QV, 260686004-QV, 363700003-BS, 405814001-BS, 424361007-SU]
5	[116680003-PR, 260507000-QV, 260686004-QV, 363701004-SU, 363703001-QV, 405814001-BS]
5	[116680003-PR, 260686004-QV, 363699004-PO, 405813007-BS, 424361007-SU]
5	[116680003-PR, 260686004-QV, 363700003-BS, 363701004-SU, 363703001-QV, 363709002-BS, 405813007-BS, 405814001-BS]
5	[116680003-PR, 260686004-QV, 363700003-BS, 363703001-QV]
5	[116680003-PR, 260686004-QV, 363700003-BS, 405813007-BS, 424226004-PO, 424876005-QV]
5	[116680003-PR, 260686004-QV, 363700003-BS, 405813007-BS, 424876005-QV, 425391005-PO]
5	[116680003-PR, 260686004-QV, 363701004-SU, 363702006-PR, 405814001-BS]
5	[116680003-PR, 260686004-QV, 363701004-SU, 363709002-BS, 405813007-BS, 405814001-BS, 424226004-PO, 425391005-PO]
5	[116680003-PR, 260686004-QV, 363702006-CF, 405813007-BS, 424361007-SU]
5	[116680003-PR, 260686004-QV, 363703001-QV, 405813007-BS, 424361007-SU]
5	[116680003-PR, 260686004-QV, 363704007-BS, 424876005-QV]
5	[116680003-PR, 260686004-QV, 363704007-BS, 425391005-PO]
5	[116680003-PR, 260686004-QV, 405813007-BS, 405814001-BS, 424226004-PO]
5	[116680003-PR, 260686004-QV, 405813007-BS, 405816004-BS]
5	[116680003-PR, 260686004-QV, 405814001-BS, 425391005-PO]
5	[116680003-PR, 363699004-PO, 363702006-PR]
5	[116680003-PR, 363702006-CF, 363703001-QV]
5	[116680003-PR, 363702006-CF, 405813007-BS]
5	[116680003-PR, 363704007-BS, 424876005-QV]
5	[116680003-PR, 405814001-BS, 405815000-PO]
4	[116676008-BS, 116680003-CF, 263502005-QV]
